,N1,N3,N4,N5,N6,N7,LABEL,C1_Z11,C1_Z12,C1_Z13,C1_Z14,C2_Z32,C2_Z33/Z30/Z31,C2_Z34,C3_Z40,C3_Z41,C3_Z410,C3_Z42,C3_Z43,C3_Z44,C3_Z45,C3_Z46,C3_Z48,C3_Z49,C4_Z61,C4_Z62/Z63/Z64/Z65,C5_Z71,C5_Z72,C5_Z73,C5_Z74,C5_Z75,C5.1_Z91/Z94,C5.1_Z92,C5.1_Z93,C6_Z101,C6_Z102,C6_Z103,C7_Z121,C7_Z122,C7_Z123,C7_Z124,C8_Z141,C8_Z142,C8_Z143,C9_Z151/Z153,C9_Z152,C10_Z171/Z172/Z174,C10_Z173,C11_Z191,C11_Z192,C12_Z201,C12_Z202
0,6,4,4,67,2,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0
1,48,2,2,22,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0
2,12,2,3,49,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0
3,42,2,4,45,1,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0
4,24,3,4,53,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0
5,36,2,4,35,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0
6,24,3,4,53,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0
7,36,2,2,35,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0
8,12,2,4,61,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0
9,30,4,2,28,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0
